RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Clippers*,2014,82,57,25,West,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,24.6,8.6,4.8,13.9,21.5,107.9
2,Houston Rockets*,2014,82,54,28,West,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,21.4,7.6,5.6,16.1,20.4,107.7
3,Minnesota Timberwolves,2014,82,40,42,West,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,23.9,8.8,3.6,13.9,18.3,106.9
4,Portland Trail Blazers*,2014,82,54,28,West,242.1,39.1,87.0,.450,9.4,25.3,.372,29.7,61.7,.481,19.1,23.5,.815,12.5,34.0,23.2,5.5,4.7,13.7,19.2,106.7
5,Oklahoma City Thunder*,2014,82,59,23,West,241.5,39.0,82.7,.471,8.1,22.4,.361,30.9,60.3,.512,20.2,25.0,.806,10.8,33.9,21.9,8.3,6.1,15.3,22.7,106.2
6,San Antonio Spurs*,2014,82,62,20,West,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,25.2,7.4,5.1,14.4,18.2,105.4
7,Phoenix Suns,2014,82,48,34,West,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,19.1,8.4,4.6,15.3,21.9,105.2
8,Dallas Mavericks*,2014,82,49,33,West,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,23.6,8.6,4.3,13.5,20.0,104.8
9,Denver Nuggets,2014,82,36,46,West,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,22.4,7.5,5.6,15.9,23.0,104.4
10,Golden State Warriors*,2014,82,51,31,West,241.8,39.5,85.4,.462,9.4,24.8,.380,30.0,60.6,.496,15.9,21.1,.753,10.9,34.4,23.3,7.8,5.0,15.2,21.8,104.3
11,Los Angeles Lakers,2014,82,27,55,West,240.3,38.3,85.1,.450,9.4,24.8,.381,28.8,60.3,.478,17.0,22.4,.757,9.1,32.0,24.5,7.5,5.4,15.1,19.8,103.0
12,Miami Heat*,2014,82,54,28,East,242.4,38.3,76.5,.501,8.1,22.3,.364,30.2,54.2,.558,17.5,23.0,.760,7.6,29.2,22.5,8.9,4.5,14.8,19.5,102.2
13,Toronto Raptors*,2014,82,48,34,East,243.4,36.5,81.9,.445,8.7,23.4,.372,27.8,58.5,.475,19.6,25.1,.782,11.4,31.1,21.2,7.0,4.2,14.1,23.0,101.3
14,Atlanta Hawks*,2014,82,38,44,East,241.8,37.3,81.6,.458,9.4,25.8,.363,28.0,55.8,.502,17.0,21.7,.781,8.7,31.3,24.9,8.3,4.0,15.3,19.2,101.0
15,Detroit Pistons,2014,82,29,53,East,241.2,38.8,86.9,.447,6.2,19.3,.321,32.6,67.6,.483,17.3,25.7,.670,14.6,30.8,20.9,8.4,4.8,14.5,20.3,101.0
16,Washington Wizards*,2014,82,44,38,East,244.6,38.7,84.4,.459,7.9,20.8,.380,30.9,63.6,.485,15.3,20.9,.731,10.8,31.4,23.3,8.1,4.6,14.7,20.4,100.7
17,Sacramento Kings,2014,82,28,54,West,241.8,36.9,82.5,.447,6.0,18.0,.333,30.9,64.5,.479,20.7,27.3,.759,12.1,32.4,18.9,7.2,3.9,15.2,22.5,100.5
18,New Orleans Pelicans,2014,82,34,48,West,242.1,37.8,82.5,.459,5.9,15.9,.373,31.9,66.6,.479,18.2,23.6,.769,11.4,30.3,21.3,7.9,6.4,13.8,22.6,99.7
19,Philadelphia 76ers,2014,82,19,63,East,242.1,37.9,87.2,.435,7.0,22.5,.312,30.9,64.7,.477,16.6,23.4,.710,11.6,31.2,21.8,9.3,4.0,16.9,22.5,99.5
20,New York Knicks,2014,82,37,45,East,242.1,36.9,82.2,.449,9.3,24.9,.372,27.7,57.3,.482,15.5,20.4,.761,10.6,29.7,20.0,7.7,4.5,13.0,22.1,98.6
21,Brooklyn Nets*,2014,82,44,38,East,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,20.9,8.6,3.8,14.5,21.7,98.5
22,Cleveland Cavaliers,2014,82,33,49,East,243.0,37.0,84.8,.437,7.1,20.0,.356,29.9,64.8,.461,17.0,22.7,.751,12.1,32.1,21.2,7.1,3.7,14.2,20.0,98.2
23,Charlotte Bobcats*,2014,82,43,39,East,242.7,36.3,82.1,.442,6.3,17.9,.351,30.0,64.1,.468,18.0,24.4,.737,9.5,33.2,21.7,6.1,5.1,12.3,18.2,96.9
24,Indiana Pacers*,2014,82,56,26,East,241.2,36.0,80.2,.449,6.7,18.8,.357,29.3,61.4,.477,18.1,23.3,.779,10.2,34.5,20.1,6.7,5.4,15.1,20.4,96.7
