RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves,2022,71,41,30,West,241.4,41.4,91.1,.454,14.7,41.6,.354,26.7,49.5,.538,17.7,22.8,.775,11.4,33.3,25.5,8.8,5.8,14.5,21.8,115.2
2,Milwaukee Bucks,2022,70,44,26,East,240.7,41.4,89.1,.464,14.3,38.9,.368,27.1,50.3,.539,17.8,23.0,.774,10.3,36.5,23.6,7.7,4.0,13.4,18.3,114.9
3,Charlotte Hornets,2022,70,35,35,East,242.9,42.4,91.9,.462,13.9,38.4,.361,28.6,53.5,.534,16.1,21.9,.738,11.0,34.0,27.4,8.8,4.9,13.2,20.0,114.9
4,Memphis Grizzlies,2022,70,48,22,West,241.1,43.3,94.2,.460,11.1,32.5,.342,32.2,61.7,.522,17.0,23.2,.731,14.2,35.2,25.6,9.9,6.5,13.1,19.6,114.7
5,Phoenix Suns,2022,70,56,14,West,240.4,43.5,89.7,.485,11.6,31.9,.365,31.8,57.9,.550,15.9,19.9,.798,9.7,35.7,27.4,8.6,4.4,12.8,19.4,114.5
6,Utah Jazz,2022,69,43,26,West,240.4,40.7,86.2,.472,14.8,40.5,.365,25.9,45.7,.567,17.9,23.0,.776,10.5,35.8,22.4,7.1,4.9,14.3,19.1,114.0
7,San Antonio Spurs,2022,70,27,43,West,241.8,43.7,93.3,.468,11.1,31.6,.352,32.5,61.7,.527,14.6,19.6,.744,11.1,34.2,28.1,7.6,5.0,12.7,18.3,113.0
8,Atlanta Hawks,2022,69,34,35,East,240.4,41.2,88.2,.467,12.6,33.9,.370,28.6,54.3,.528,17.9,22.1,.810,10.1,34.0,24.4,6.9,4.4,11.9,18.6,112.8
9,Chicago Bulls,2022,69,41,28,East,240.4,42.0,87.1,.482,10.9,29.2,.373,31.1,57.9,.537,17.2,21.1,.816,8.6,34.3,24.1,7.2,4.3,13.0,18.8,112.1
10,Brooklyn Nets,2022,70,36,34,East,240.7,41.8,88.6,.471,11.3,31.7,.357,30.4,56.8,.535,17.0,21.3,.799,10.3,33.9,25.1,7.0,5.3,13.8,20.1,111.9
11,Denver Nuggets,2022,70,42,28,West,241.1,41.2,86.3,.478,12.8,36.3,.352,28.4,50.0,.569,16.2,20.5,.790,9.0,35.1,27.4,7.3,3.7,14.4,19.8,111.4
12,Golden State Warriors,2022,70,47,23,West,240.7,40.6,86.7,.469,14.5,40.1,.362,26.1,46.6,.561,15.4,20.2,.764,9.6,35.7,27.3,9.2,4.7,14.8,20.7,111.2
13,Los Angeles Lakers,2022,69,29,40,West,243.6,41.2,88.8,.464,12.1,34.8,.347,29.1,54.0,.539,16.3,22.4,.727,9.6,34.6,23.9,7.9,5.6,14.8,20.2,110.9
14,Sacramento Kings,2022,71,25,46,West,241.1,40.7,88.7,.459,11.5,33.4,.343,29.3,55.3,.530,17.5,22.8,.768,9.9,33.4,23.6,7.2,4.5,14.1,19.4,110.5
